street,R2,RMSE,MAE
1 AVENUE,0.41176747587964246,402.7520617140049,327.33543179423594
10 AVENUE,0.300551360233822,589.7102682268184,434.32214337778373
11 AVENUE,0.12033521545561887,399.6125892729738,329.19075086007956
111 STREET,0.3190222851328045,82.84033644739607,67.26833339518467
12 AVENUE,0.28874347747675577,805.892808468714,622.7240055651536
14 AVENUE,0.22647392108409004,86.14466558947879,68.14716020700563
145 STREET BRIDGE,0.2805090654439456,270.13477564058684,220.53849013084584
188 STREET,0.3328033732444097,192.03294241229605,155.20633697210013
2 AVENUE,0.230618997080555,537.2745533446107,435.1388778200534
21 STREET,0.5444569423301837,181.91539592820425,142.43694796491548
26 AVENUE,0.16027266678239782,147.98056097582233,127.57389773681209
3 AVENUE,0.19565477524937558,449.19039544058614,337.4861537821663
31 AVENUE,0.18043224378548162,80.61467419099301,61.109579727142794
34 AVENUE,0.3093110485382258,127.3109913177969,101.51451503879126
39 AVENUE,0.17779707532870748,92.56564367119583,73.95826363912248
4 AVENUE,0.14004430641946386,297.3917362831783,231.74424403544356
45 AVENUE,0.42323287083701955,74.77355389226204,59.67331806429931
47 AVENUE,0.4425342280733492,35.88882657659047,19.009781987514476
48 STREET,0.2843979426424421,212.83455050902984,149.74837230873493
5 AVENUE,0.3344989163124885,368.26180874734837,296.19357103114856
58 STREET,0.0699492295939047,245.90411867599408,182.28109178163186
65 STREET,0.08043318487312034,289.86994344129545,238.80570542933896
7 AVENUE,0.4572136304183001,449.0028966908621,389.11985043963637
73 PLACE,0.1573815656659071,67.06202677608326,54.16033971800556
8 AVENUE,0.6651729515864411,274.8554844412192,214.00694084844946
80 STREET,0.1659498621007327,219.03410431556375,178.92513848406813
86 STREET,0.167114662414114,187.54058876605995,139.11775187287645
9 AVENUE,0.4096220843573325,348.2125078306807,292.11936761976176
9 STREET,0.19160730514315405,123.81992854512667,94.00776185670153
AMBOY ROAD,0.13518704697822548,186.08286351231624,152.62975354033262
AMSTERDAM AVENUE,0.14366576972309475,297.12264591376737,219.50439932085237
ARTHUR KILL ROAD,0.19259088552139692,189.5672078370916,152.8160925727238
ASTORIA BOULEVARD,0.1048444959710706,539.4619442859988,397.26676838999543
ATLANTIC AVENUE,0.14947958021557328,345.5146110477084,267.2536450480684
AUDUBON AVENUE,0.1798975280469397,52.149209687145515,40.36885320186003
AVENUE B,0.13251370819244124,32.89216014655009,23.447317811822234
AVENUE D,0.2197107773912248,81.32807348614374,68.47904976959737
AVENUE J,0.4393383207114617,83.0812282888418,63.98499849227253
AVENUE M,0.1703537705170769,121.83968276608336,86.12655691409026
