street,R2,RMSE,MAE
1 AVENUE,0.08133233380640681,503.31801022733106,412.50798441515167
10 AVENUE,0.010106028975766512,701.5443229057287,594.7313863182973
11 AVENUE,0.1213511704870649,399.3817594625362,328.63617094558253
111 STREET,0.29866166001811834,84.06964135840859,68.79572141365038
12 AVENUE,0.28874347747675577,805.892808468714,622.7240055651536
14 AVENUE,0.2033746414395683,87.42144340370743,68.2329060209717
145 STREET BRIDGE,0.2805090654439456,270.13477564058684,220.53849013084584
188 STREET,0.21609764796728426,208.15162189778215,168.37030921635443
2 AVENUE,0.16669608426613236,559.1486152692597,433.21565948651005
21 STREET,0.05790739374918186,261.6083112978488,224.99750612754613
26 AVENUE,0.16027266678239782,147.98056097582233,127.57389773681209
3 AVENUE,0.042217187127129185,490.1654966390263,395.02467469099753
31 AVENUE,0.17643644556981375,80.81095344887633,61.25602266216773
34 AVENUE,0.18603586234379688,138.2061219110286,113.81777608665641
39 AVENUE,0.08321444699737046,97.74492039324926,81.40972100583913
4 AVENUE,0.14004430641946386,297.3917362831783,231.74424403544356
45 AVENUE,0.2402429953832801,85.81933171959218,69.1713594723512
47 AVENUE,0.04633005230760889,46.94066132866863,23.722843656944118
48 STREET,0.18950022202101524,226.5076062427204,158.92849753177458
5 AVENUE,0.0878277941408111,431.1423811110254,373.79134079298746
58 STREET,0.05484659374329581,247.89263640842358,181.68331382352852
65 STREET,0.08043318487312034,289.86994344129545,238.80570542933896
7 AVENUE,0.05778421815288981,591.5750694393843,518.1198621168671
73 PLACE,0.1573815656659071,67.06202677608326,54.16033971800556
8 AVENUE,0.08277461598243452,454.9170064617217,391.82438009505086
80 STREET,0.1659498621007327,219.03410431556375,178.92513848406813
86 STREET,0.14342533726653295,190.18894910318153,146.51520355077872
9 AVENUE,0.4103245965027019,348.0052708013391,292.1457824029937
9 STREET,0.1772478105484392,124.9147957659167,94.54760817174869
AMBOY ROAD,0.13518704697822548,186.08286351231624,152.62975354033262
AMSTERDAM AVENUE,0.08984038647330639,306.3182568820976,232.33421816018398
ARTHUR KILL ROAD,0.1547320296149296,193.96063435944887,156.37839994744508
ASTORIA BOULEVARD,0.1048444959710706,539.4619442859988,397.26676838999543
ATLANTIC AVENUE,0.13402880292746222,348.638840592498,272.2001261456017
AUDUBON AVENUE,0.1798975280469397,52.149209687145515,40.36885320186003
AVENUE B,0.13777502598516644,32.792262716008594,23.4164093442464
AVENUE D,0.2197107773912248,81.32807348614374,68.47904976959737
AVENUE J,0.14488641161399307,102.60401978201197,80.53266007115498
AVENUE M,0.13563501098093123,124.36290878988564,86.74056012275973
AVENUE OF THE AMERICAS,0.1656508165980961,446.1991047828334,373.0651193394787
AVENUE V,0.010639532960373677,69.13907260726269,49.756060848878576
BAY PARKWAY,0.23711241449454878,213.5104470753732,171.0702555178556
BEACH 20 STREET,0.13820868288365096,158.0123713319603,133.04510759321843
BEACH CHANNEL DRIVE,0.14565138529353217,202.5557483767765,174.39526109362896
BEDFORD AVENUE,0.08385596257924766,251.50809719648612,171.48319111081383
BEDFORD PARK BOULEVARD,0.28235736857803195,83.427151067483,69.21376501307883
BELT PARKWAY,0.23410817608394507,1125.873376139712,967.7931665615702
BORDEN AVENUE BRIDGE,0.07905255231324826,207.6491926748099,176.14653685992377
BOSTON ROAD,0.08602683736113526,351.4582348912433,247.50026041468712
BROADWAY,0.14215576548263897,255.7374739388639,199.84374554688853
BROADWAY BRIDGE,0.08308401061692783,433.3903314107829,371.8576467876892
BRONXWOOD AVENUE,0.09436653867278977,85.86255755108705,62.99288375336355
BROOKLYN QUEENS EXPRESSWAY,0.16672893552676216,963.3068936417586,785.190870079792
BRUCKNER BOULEVARD,0.10052929114436737,383.6014329836754,311.3380753097103
BUSHWICK AVENUE,0.14931636351148803,369.7792603880623,314.36547019889065
CENTRAL AVENUE,0.263259284830081,161.00658906285028,135.63700868779694
CENTRAL PARK SOUTH,0.2577527529765591,207.53923057376016,169.9374940853931
CENTRAL PARK WEST,0.2881881932599226,199.1170280147234,158.7714380058687
CHRYSTIE STREET,0.19416501798532848,180.07765338074788,152.45341511712974
CHURCH AVENUE,0.21048149882914557,102.11847364145812,81.82730070852239
COLUMBIA STREET,0.22558678083992267,117.45452634210787,96.72746094978068
COLUMBUS AVENUE,0.3429889801996997,296.06938761380235,247.55963994197162
COOPER AVENUE,0.014281255216320288,185.9899083878693,161.75229413442713
CORTELYOU ROAD,0.33175266666052705,82.89761413806181,67.00418924993383
CRESCENT STREET,0.1638488615447281,155.23158529549602,126.00124406601643
CROPSEY AVENUE,0.16351607115836697,302.9296889064795,240.21706841713842
CROPSEY AVENUE BRIDGE,0.21422389696674926,315.2210862037328,273.1122498061845
CROSS BAY BOULEVARD,0.21157495867246934,266.6389703315191,214.70678080079261
DEKALB AVENUE,0.2885611340813057,56.214966540478564,45.69223213046493
DYCKMAN STREET,0.38040594288954455,92.18629129957333,78.51362067301746
EAST 138 STREET,0.11509097679664371,245.33857566816883,189.29056267649946
EAST 149 STREET,0.2247084845386299,177.48229802235673,147.23992117765835
EAST 161 STREET,0.18872709009726907,139.2729896920183,109.02468815183344
EAST 163 STREET,0.26645050612706844,173.21658418934297,135.20375861590495
EAST 174 ST BRIDGE,0.19255098574294294,192.31180046096466,151.9495254520253
EAST FORDHAM ROAD,0.14664513425252423,642.2814865658511,537.1924150507745
EAST GUN HILL ROAD,0.16921626707968918,330.83156695540737,269.31760986908677
EAST TREMONT AVENUE,0.08986824870851873,218.0223949523429,182.35400461906607
EMMONS AVENUE,0.2870272028251706,289.57476628798054,230.32127827309824
EXTERIOR STREET,0.1860864932054046,1161.4872958614424,1039.6931299407238
F D R DRIVE,0.2517709493430923,1021.4368270396238,832.433303975054
FLATBUSH AVENUE,0.20035397876984573,272.17838603579946,219.7143520385089
FLATLANDS AVENUE,0.3303180170209822,245.31001690304822,208.78766630209162
FLUSHING AVENUE,0.17056420004301964,183.26064563925985,143.349476086371
FREDERICK DOUGLASS BOULEVARD,0.20796649503959908,115.4876044654456,90.62925986945109
FRESH KILLS BRIDGE,0.11033763256447571,749.9843016636247,646.380394049822
FRESH POND ROAD,0.2463228937868598,85.40542742666165,70.7383550413157
FT HAMILTON PARKWAY,0.21948118150905616,184.79989572200094,148.72650828662958
FULTON STREET,0.17316886605695703,111.06617321334711,88.83227637983659
FURMAN STREET,0.13012686309588006,103.86304353815608,91.4685631988365
GRAND CONCOURSE,0.14171802542234602,204.88936102613482,156.22522912426027
GRAND STREET BRIDGE,0.1607227526715176,151.87828958439312,119.40587867438079
GREENPOINT AVENUE,0.19663847525678313,213.1486734172347,183.17110559152442
HAMILTON AVENUE BRIDGE,-0.018790974633850377,1658.4818031392608,1455.6817897345088
HICKS STREET,0.06704603268225973,297.16525718645806,233.32370916338158
HILLSIDE AVENUE,0.1715133842822062,415.28147184073055,305.08750900856165
HOLLIS COURT BOULEVARD,0.06643976205606728,146.33965506939722,125.29281120534257
HOOK CREEK BRIDGE,0.23517611838066876,608.6363981004971,538.7621803061259
HUGUENOT AVENUE,0.09299365184100439,137.83242013924647,112.5620708856884
HUNTS POINT AVENUE,0.03385900517982676,197.64359724196282,155.63961416908555
HYLAN BOULEVARD,0.11566493113933285,386.5820113521082,303.44817398039805
JACKIE ROBINSON PARKWAY,0.23930603678225137,737.9816265759083,607.7877705110906
JACKSON AVENUE,0.05509804067746582,160.9281822703713,117.44771839334075
JAMAICA AVENUE,0.12367443003664036,211.6317979096121,159.04902799266563
JEROME AVENUE,0.16540631043930087,151.3156618699287,114.70697371794745
JJ BYRNE MEMORIAL BRIDGE,0.11636630751975563,445.2160670652853,362.9036024184172
JUNCTION BOULEVARD,0.28816405006134926,136.8536183423303,111.17787198914372
KINGS HIGHWAY,0.13859945001912022,182.10514565721812,135.39311547674174
KISSENA BOULEVARD,0.1668130632170688,185.17753682554678,153.8837194697754
