street,R2,RMSE,MAE
1 AVENUE,0.09406403684337017,523.6242919134668,435.17090266908554
10 AVENUE,0.08772523303887947,690.3567566186491,567.9840819660184
11 AVENUE,0.10131991089739434,416.2172790059422,346.31999355914513
111 STREET,0.33464196590091255,20.471191242368203,16.807087376777115
12 AVENUE,0.3003718988649067,964.5427275927537,795.781707851117
14 AVENUE,0.23785398455547258,76.86913409323095,65.52410771607504
145 STREET BRIDGE,0.3117475901630601,66.05135211091255,54.82826929622657
188 STREET,0.13752760066039282,219.09812754959887,183.0821704260471
2 AVENUE,0.2343190297641211,556.1872315199751,438.51002890589484
21 STREET,0.291019475162269,230.7928125378538,188.09853198961923
26 AVENUE,0.29364383132437655,139.2472135164375,114.66809542115985
3 AVENUE,0.058144765303018264,488.9032188532344,388.3783088910275
31 AVENUE,0.25621135747438517,74.11422380368045,56.75671442557373
34 AVENUE,0.4558197973383957,127.47923816042766,100.90861927585436
39 AVENUE,0.07546363820568647,100.03269934968,84.94887047461839
4 AVENUE,0.20358200833115825,290.6672978927865,223.60262562894374
45 AVENUE,0.21309162443709462,41.08957279392899,29.840624131013158
47 AVENUE,0.22625760585410937,11.838761118428861,8.411327771318271
48 STREET,0.24064271670062543,107.58135751150026,86.67903932497147
5 AVENUE,0.10116887712969125,423.93025004317036,355.287982651491
58 STREET,0.06677026346399106,222.16868024961724,141.8049513578244
65 STREET,0.19487254089361483,278.1524128373923,229.6097881189392
7 AVENUE,0.24943294553005524,465.3387512230967,399.02735148093814
73 PLACE,0.09931145781774298,64.91884641653061,51.36790422602578
8 AVENUE,0.46572858157348185,303.94201083914754,247.4449475540158
80 STREET,0.16254297994886846,223.13615803483404,183.44511073749413
86 STREET,0.1907358199604684,192.25995170824794,150.79529987389841
9 AVENUE,0.4355851236108744,364.4948567763041,294.9237163003439
9 STREET,0.36841603911062537,105.34156123340858,77.58550838673342
AMBOY ROAD,0.1647316787026798,182.87666487191157,149.58159407672966
AMSTERDAM AVENUE,0.03613959670541733,331.5362247280609,250.4151493820684
ARTHUR KILL ROAD,0.16274771878471228,139.3995163017373,106.42543565548822
ASTORIA BOULEVARD,0.15801236612037328,389.28283925089175,282.94036838575386
ATLANTIC AVENUE,0.11887645631013344,343.7670864477163,277.45169515584826
AUDUBON AVENUE,0.15500573812699825,53.88389848854,41.986895352454965
AVENUE B,0.12233668383039042,25.22600387720263,17.407661426075013
AVENUE D,0.28006903339492617,78.64810993762974,66.09312178824395
AVENUE J,0.27614750170353664,99.71839055489924,76.74515115138733
AVENUE M,0.16682159648734918,125.14037292896111,88.68054766668983
AVENUE OF THE AMERICAS,0.37634474246317307,357.35330407781356,287.0643009034143
BAY PARKWAY,0.2866562263890783,169.7671921455601,138.93827373007824
BEACH 20 STREET,0.35464767465901037,34.1844409558615,28.49849964780162
BEDFORD AVENUE,0.16712685327235932,241.84265863074734,165.31128514007625
BEDFORD PARK BOULEVARD,0.4498172094940721,73.97539615175795,60.55906551199161
BELT PARKWAY,0.3286262530381261,1019.8128649888731,853.6052639336137
BORDEN AVENUE BRIDGE,0.0748133712973107,52.03163883603319,44.13642592237526
BOSTON ROAD,0.2059582088110491,249.37077353325307,197.58610545858105
BROADWAY,0.12119362294933667,254.2579331956985,198.7712652291038
BROADWAY BRIDGE,0.20360920287700568,100.9758622429875,86.18089378889862
BRONXWOOD AVENUE,0.29699974858414036,76.1356525513267,54.9490413320851
BROOKLYN QUEENS EXPRESSWAY,0.29344453253496683,1179.0138294886237,969.6857685154055
BRUCKNER BOULEVARD,0.09265733265256948,411.69039464908025,331.59218429502664
BUSHWICK AVENUE,0.42807120703437873,358.86763012282023,292.5685133626805
CENTRAL AVENUE,0.38383691785398266,115.85753249895856,79.42819826804147
CENTRAL PARK SOUTH,0.195800922134315,254.20759521172377,217.0350151125668
CENTRAL PARK WEST,0.30040434471137467,198.12137799279526,157.45882610771022
CHRYSTIE STREET,0.29336010398479107,183.38445833563927,153.16560616470747
CHURCH AVENUE,0.23666317643581203,102.58309402966778,81.93530113951388
COLUMBIA STREET,0.2652331504283276,121.9374328380563,98.35353023321133
COLUMBUS AVENUE,0.3533593013269922,322.9983411996124,267.4691943157038
COOPER AVENUE,0.06701053448262018,40.766045278654126,32.37913259775279
CORTELYOU ROAD,0.14063851958487694,96.62367794237697,80.66319729619254
CRESCENT STREET,0.5693198251715608,134.67054975164046,104.73343851937922
CROPSEY AVENUE,0.2934149065711159,94.90305680576384,78.02550038594592
CROPSEY AVENUE BRIDGE,0.2351319684240576,77.74977057509953,66.3980319879849
CROSS BAY BOULEVARD,0.2068170120840509,254.99248534118527,208.91150531238006
DEKALB AVENUE,0.3791429061360311,48.76527291298911,37.746418982939986
DYCKMAN STREET,0.2725939993804285,109.05331806640469,93.23106660772298
EAST 138 STREET,0.448748368692479,189.05207434956301,138.95925900896748
EAST 149 STREET,0.24158335787049467,175.68917626918156,145.44360671074176
EAST 161 STREET,0.21562006766879604,134.5706522287318,103.66847336886929
EAST 163 STREET,0.20427985059619702,154.70463131208336,129.92768349284503
EAST 174 ST BRIDGE,0.19457494193409475,48.017656079579666,37.53232052896843
EAST FORDHAM ROAD,0.22795640095848158,628.0958842398369,507.4902026203524
EAST GUN HILL ROAD,0.201004673772738,325.1531166481446,261.35855458182465
EAST TREMONT AVENUE,0.2048570684700416,180.84708592687957,148.97363703806838
EMMONS AVENUE,0.42591304408383335,275.43891080720215,210.94144905283832
F D R DRIVE,0.2439678498058957,1104.0295967620907,901.8404460633841
FLATBUSH AVENUE,0.21383950839918497,307.6066024361089,254.3844588109099
FLATLANDS AVENUE,0.32482573294448025,246.31389722621174,210.38652482742003
FLUSHING AVENUE,0.18159140313749367,191.27831920628302,154.39035930487773
FREDERICK DOUGLASS BOULEVARD,0.22226440864972408,128.25982231707096,103.05076979043751
FRESH KILLS BRIDGE,0.1382445384142117,184.5319596469494,157.22799936522884
FT HAMILTON PARKWAY,0.24301699053279402,181.99233558230873,146.0246483643685
FULTON STREET,0.40529646230256455,97.21127022345146,76.33758590930788
GRAND CONCOURSE,0.1809472661503967,201.83930035435844,154.15815273057234
GRAND STREET BRIDGE,0.16727141023434966,37.821149055204465,29.781555427753762
HAMILTON AVENUE BRIDGE,0.4219571069785545,312.3116666734134,251.02362242101992
HICKS STREET,0.05734491001791264,298.85658284104824,234.6422090445221
HILLSIDE AVENUE,0.13368621388272883,356.0480739523235,279.6557023327122
HOLLIS COURT BOULEVARD,0.08234475098473104,147.7819821802099,125.8358181552858
HOOK CREEK BRIDGE,0.2747314853261327,148.1721632504182,128.9607235615646
HUGUENOT AVENUE,0.1681365744976585,125.14581555278379,102.79179765727372
HUNTS POINT AVENUE,0.20231865977621277,154.3139096980659,106.52534648188163
HYLAN BOULEVARD,0.07138021819632867,387.50984239499684,297.0731643094269
