street,R2,RMSE,MAE
1 AVENUE,0.4224294813792707,401.6610878510759,326.9441192777363
10 AVENUE,0.29242774624409507,607.1754451480238,449.27850726604703
11 AVENUE,0.11828342447475038,403.9825018512732,336.5903456762692
111 STREET,0.3190222851328045,82.84033644739607,67.26833339518467
12 AVENUE,0.28874347747675577,805.892808468714,622.7240055651536
14 AVENUE,0.22647392108409004,86.14466558947879,68.14716020700563
145 STREET BRIDGE,0.2805090654439456,270.13477564058684,220.53849013084584
188 STREET,0.3800778550121964,172.64810855843783,132.74783771888556
2 AVENUE,0.18346229389968716,558.4172271154276,454.7935400582902
21 STREET,0.5444569423301837,181.91539592820425,142.43694796491548
26 AVENUE,0.16027266678239782,147.98056097582233,127.57389773681209
3 AVENUE,0.21192453464512795,445.91896484489746,334.52653900788727
31 AVENUE,0.18705276625301193,79.14106436018778,60.88983210522976
34 AVENUE,0.3093110485382258,127.3109913177969,101.51451503879126
39 AVENUE,0.17779707532870748,92.56564367119583,73.95826363912248
4 AVENUE,0.10449041540892345,309.6770329949615,241.6063309066326
45 AVENUE,0.42323287083701955,74.77355389226204,59.67331806429931
47 AVENUE,0.4369162454330925,41.7360039817908,22.773614792684366
48 STREET,0.2843979426424421,212.83455050902984,149.74837230873493
5 AVENUE,0.2678648625048857,380.26441449353985,307.73669168072263
58 STREET,0.07040851039187634,225.7165282307175,172.4525010164163
65 STREET,0.08043318487312034,289.86994344129545,238.80570542933896
7 AVENUE,0.4572136304183001,449.0028966908621,389.11985043963637
73 PLACE,0.20093344747770248,68.46050494356805,57.12592457475439
8 AVENUE,0.6498068359931475,282.7850365410163,221.29702502410467
80 STREET,0.1659498621007327,219.03410431556375,178.92513848406813
86 STREET,0.167114662414114,187.54058876605995,139.11775187287645
9 AVENUE,0.3339507073913315,358.4845603609884,299.4780073393482
9 STREET,0.12560059060482287,139.5246174669144,100.23084350409287
AMBOY ROAD,0.13518704697822548,186.08286351231624,152.62975354033262
AMSTERDAM AVENUE,0.23016904383827752,291.91338401837055,208.26423542386323
ARTHUR KILL ROAD,0.21222204051995763,188.073965573375,148.07928788998927
ASTORIA BOULEVARD,0.1048444959710706,539.4619442859988,397.26676838999543
ATLANTIC AVENUE,0.18148887320176899,337.2843615105993,263.9159061127144
AUDUBON AVENUE,0.23006142576764022,49.892985127115466,38.55269490186858
AVENUE D,0.2197107773912248,81.32807348614374,68.47904976959737
