street,RMSE,MAE,R2
1 AVENUE,0.11545218,0.050913393,0.29881006479263306
10 AVENUE,0.34244347,0.1555606,0.01857614517211914
11 AVENUE,0.026103629,0.02610363,0.0
111 STREET,0.006553526,0.006320359,0.0
12 AVENUE,0.0002709297,0.0002314175,0.0
14 AVENUE,0.16017972,0.04061072,0.0
145 STREET BRIDGE,0.00016648174,0.00014856007,0.0
188 STREET,0.60828996,0.3702645,-0.5887404680252075
2 AVENUE,0.113190986,0.047837313,0.9373466968536377
21 STREET,0.1825167,0.05310671,0.8667505979537964
26 AVENUE,0.00018476816,0.0001620935,0.0
3 AVENUE,0.11485094,0.0640238,0.7596138119697571
31 AVENUE,0.586186,0.3437299,-0.5234973430633545
34 AVENUE,0.14740264,0.030596003,0.9130886793136597
39 AVENUE,0.10841208,0.017363712,0.0
4 AVENUE,0.00019092183,0.0001845637,0.0
45 AVENUE,0.14724548,0.046819024,0.91327303647995
47 AVENUE,0.0034028837,0.0033800467,0.0
48 STREET,0.0012845764,0.001232334,0.0
5 AVENUE,0.6038171,0.44485113,-0.5216673612594604
58 STREET,0.15449293,0.027331972,0.8982411026954651
65 STREET,8.935338e-05,6.240573e-05,0.0
7 AVENUE,0.061149336,0.019587323,0.8931540250778198
73 PLACE,5.701711e-05,4.9007747e-05,0.0
8 AVENUE,0.39472276,0.2048526,0.10064136981964111
80 STREET,0.00027749097,0.00013911608,0.0
86 STREET,0.02426845,0.019419478,0.9976441264152527
9 AVENUE,0.00043012915,0.0003462157,0.0
9 STREET,0.01667854,0.014227405,0.0
AMBOY ROAD,0.00014863122,0.00014023768,0.0
AMSTERDAM AVENUE,0.23259576,0.10452502,0.7011363506317139
ARTHUR KILL ROAD,0.004432038,0.002944372,0.999921441078186
ASTORIA BOULEVARD,0.0004284299,0.0004024528,0.0
ATLANTIC AVENUE,0.020842973,0.0033793729,0.9952687621116638
AUDUBON AVENUE,5.724158e-05,5.3057585e-05,0.0
AVENUE B,0.00014227461,0.00013516081,0.0
AVENUE D,0.0025936908,0.0025495056,0.0
AVENUE J,0.033845928,0.03318366,0.0
AVENUE M,0.051668353,0.029898372,0.9857620596885681
AVENUE OF THE AMERICAS,0.14784119,0.026200095,0.907853901386261
AVENUE V,0.00040853847,0.00039252965,0.0
BAY PARKWAY,4.302239e-05,2.8337266e-05,0.0
BEACH 20 STREET,0.00017922198,0.00015801376,0.0
BEACH CHANNEL DRIVE,0.0011131716,0.0010524442,0.0
BEDFORD AVENUE,0.39903262,0.2988986,-1.202498435974121
BEDFORD PARK BOULEVARD,0.00049724453,0.00049075135,0.0
BELT PARKWAY,8.423152e-05,6.696529e-05,0.0
BORDEN AVENUE BRIDGE,9.3726514e-05,5.1214774e-05,0.0
BOSTON ROAD,0.00051891024,0.00038136163,0.0
BROADWAY,0.50105345,0.3812775,-0.6162117719650269
BROADWAY BRIDGE,0.00043943984,0.00039207836,0.0
BRONXWOOD AVENUE,0.005759517,0.0052046757,0.0
BROOKLYN QUEENS EXPRESSWAY,8.6369524e-05,6.912578e-05,0.0
BRUCKNER BOULEVARD,0.5264186,0.27747482,-0.38206934928894043
BUSHWICK AVENUE,0.0013930188,0.0013834412,0.0
CENTRAL AVENUE,0.00011159263,8.196272e-05,0.0
CENTRAL PARK SOUTH,8.17109e-05,6.419894e-05,0.0
CENTRAL PARK WEST,5.0841903e-05,3.6159847e-05,0.0
CHRYSTIE STREET,0.00012182202,9.7115204e-05,0.0
CHURCH AVENUE,0.022231946,0.020886436,0.0
COLUMBIA STREET,0.02655713,0.024631498,0.0
COLUMBUS AVENUE,8.205487e-05,6.6903405e-05,0.0
COOPER AVENUE,0.0024254168,0.0022843084,0.0
CORTELYOU ROAD,0.0004062188,0.00040335034,0.0
CRESCENT STREET,0.0001735189,0.00015987878,0.0
CROPSEY AVENUE,9.119928e-05,7.041141e-05,0.0
CROPSEY AVENUE BRIDGE,0.000105366824,7.4110365e-05,0.0
CROSS BAY BOULEVARD,9.3101036e-05,7.675695e-05,0.0
DEKALB AVENUE,0.0034347232,0.0029557964,0.0
DYCKMAN STREET,0.00016139713,0.00014735066,0.0
EAST 138 STREET,0.005867889,0.0053123594,0.0
EAST 149 STREET,0.0001998534,0.00012966339,0.0
EAST 161 STREET,0.010995415,0.010159124,0.0
EAST 163 STREET,0.106147535,0.04015942,0.870451033115387
EAST 174 ST BRIDGE,9.438492e-05,9.176931e-05,0.0
EAST FORDHAM ROAD,0.010872581,0.010862368,0.0
EAST GUN HILL ROAD,0.013548995,0.013171122,0.0
EAST TREMONT AVENUE,0.00018032505,0.0001726036,0.0
EMMONS AVENUE,0.1337432,0.13374265,0.0
EXTERIOR STREET,0.018217826,0.015575545,0.0
F D R DRIVE,0.00011807289,7.957585e-05,0.0
FLATBUSH AVENUE,0.040501963,0.017693695,0.786279559135437
FLATLANDS AVENUE,0.0058568986,0.0041362722,0.9994511604309082
FLUSHING AVENUE,0.19442086,0.10987544,-0.07807493209838867
FREDERICK DOUGLASS BOULEVARD,0.000117170304,7.870769e-05,0.0
FRESH KILLS BRIDGE,0.00013579566,0.0001006641,0.0
FRESH POND ROAD,0.000690216,0.00060839887,0.0
FT HAMILTON PARKWAY,0.0210856,0.021079198,0.0
FULTON STREET,0.036233082,0.01929808,0.9738928079605103
FURMAN STREET,0.002329889,0.0022711447,0.0
GRAND CONCOURSE,0.67855084,0.54466504,-4.805089950561523
GRAND STREET BRIDGE,7.7992845e-05,7.183056e-05,0.0
GREENPOINT AVENUE,0.00071769056,0.00062727137,0.0
HAMILTON AVENUE BRIDGE,0.00012008367,8.9766145e-05,0.0
HICKS STREET,0.0050846,0.00475111,0.9998965859413147
HILLSIDE AVENUE,0.39019385,0.15258186,-0.17840266227722168
HOLLIS COURT BOULEVARD,0.00013895042,0.00011321749,0.0
HOOK CREEK BRIDGE,0.00033351182,0.00025695242,0.0
HUGUENOT AVENUE,0.013294361,0.0100716,0.0
HUNTS POINT AVENUE,0.17451382,0.03844742,0.7800434231758118
HYLAN BOULEVARD,0.0058947797,0.0046270057,0.9998610019683838
JACKIE ROBINSON PARKWAY,0.00013054644,0.000118545424,0.0
JACKSON AVENUE,0.0013210267,0.0013143066,0.0
