boro,street,RMSE,MAE,R2
BRONX,LAFAYETTE AVENUE,1.4152888,1.1044551,-0.8276236057281494
BRONX,LONGWOOD AVENUE,0.6983542,0.4847857,0.08771443367004395
BRONX,MAJOR DEEGAN EXPRESSWAY,0.7554515,0.4716278,-12.958109855651855
BRONX,PELHAM BRIDGE,1.3638002,1.0093104,-0.12916111946105957
BRONX,PELHAM PARKWAY,1.3322198,1.0716549,-1.2814860343933105
BRONX,PELHAM PARKWAY SOUTH,1.6062032,1.3558605,-2.6121227741241455
BRONX,PROSPECT AVENUE,0.7434866,0.53746367,0.586717426776886
BRONX,RANDALL AVENUE,0.4354918,0.3005123,-0.6110039949417114
BRONX,RIVER AVENUE,0.7874571,0.5592114,0.4507101774215698
BRONX,SEDGWICK AVENUE,0.6206689,0.48571593,0.5708110928535461
BRONX,SOUTHERN BLVD,0.8749729,0.70064616,-0.05040895938873291
BRONX,SOUTHERN BOULEVARD,1.7079936,1.1819661,-0.20221972465515137
BRONX,VAN CORTLANDT PARK EAST,0.36292386,0.27142155,0.18116289377212524
BRONX,WASHINGTON AVENUE,1.3256043,1.0961379,-26.603830337524414
BRONX,WEBSTER AVENUE,1.1260593,0.894388,-0.15266776084899902
BRONX,WESTCHESTER AVENUE,0.7090245,0.53657347,0.505262017250061
BRONX,WESTCHESTER AVENUE BRIDGE,0.62907284,0.45862526,0.5201360583305359
BRONX,WHITE PLAINS ROAD,0.8923329,0.6516702,0.28025466203689575
BRONX,BEDFORD PARK BOULEVARD,1.0012772,0.7612801,-0.19285762310028076
BRONX,BOSTON ROAD,1.5713042,1.2463081,-59.34821319580078
BRONX,BROADWAY,0.95153475,0.7295336,-0.700359582901001
BRONX,BRONXWOOD AVENUE,0.68005854,0.48498383,-2.2947254180908203
BRONX,BRUCKNER BOULEVARD,0.8278703,0.63629794,-15.056365966796875
BRONX,EAST 138 STREET,0.4756729,0.3786383,0.12818574905395508
BRONX,EAST 149 STREET,0.6995642,0.5678069,0.5696409344673157
BRONX,EAST 161 STREET,0.8292359,0.6267474,-0.1705617904663086
BRONX,EAST 163 STREET,0.55106544,0.3864029,0.373903751373291
BRONX,EAST 174 ST BRIDGE,0.5529148,0.4163383,0.6336702704429626
BRONX,EAST FORDHAM ROAD,1.4085116,1.3656027,-127.24305725097656
BRONX,EAST GUN HILL ROAD,1.4713367,1.2085245,-1.0378742218017578
BRONX,EAST TREMONT AVENUE,0.7095969,0.5586531,0.4919079542160034
BRONX,GRAND CONCOURSE,0.93306905,0.66758883,0.10898846387863159
BRONX,HUNTS POINT AVENUE,0.4225312,0.37412447,-0.5789504051208496
BRONX,JACKSON AVENUE,0.64410144,0.5112871,0.3006476163864136
BRONX,JEROME AVENUE,0.81265646,0.62224567,0.42036086320877075
BROOKLYN,1 AVENUE,0.5943263,0.47727594,0.3738592863082886
BROOKLYN,26 AVENUE,0.6349249,0.4619649,0.5911343693733215
BROOKLYN,KINGS HIGHWAY,0.84559935,0.5762472,0.19219428300857544
BROOKLYN,LINDEN BOULEVARD,1.425301,1.1465307,-0.5523161888122559
BROOKLYN,3 AVENUE,0.8868669,0.67583764,0.07542216777801514
BROOKLYN,METROPOLITAN AVENUE,0.6461017,0.5215706,0.6626778841018677
BROOKLYN,MYRTLE AVENUE,0.6708367,0.4973809,0.4968360662460327
BROOKLYN,NEPTUNE AVENUE,1.0817046,0.63727105,-16.29458999633789
BROOKLYN,NEW YORK AVENUE,0.7032257,0.58881223,-0.4075491428375244
BROOKLYN,NORTH CONDUIT AVENUE,0.768415,0.59362257,0.1134340763092041
BROOKLYN,OCEAN AVENUE,1.1531581,0.86159223,0.2975948452949524
BROOKLYN,OCEAN PARKWAY,0.17365018,0.1432557,-0.19090521335601807
BROOKLYN,PENNSYLVANIA AVENUE,0.5586199,0.43930596,0.18693757057189941
BROOKLYN,PROSPECT AVENUE,1.001184,0.8936102,-0.014339923858642578
BROOKLYN,PULASKI BRIDGE,0.8816146,0.7214852,-0.5502218008041382
BROOKLYN,RALPH AVENUE,0.49309862,0.398098,0.6849260330200195
BROOKLYN,REMSEN AVENUE,0.76218766,0.5719316,0.30400949716567993
BROOKLYN,4 AVENUE,0.6473258,0.5062896,0.5903931260108948
BROOKLYN,SMITH STREET,0.8238561,0.60085255,-4.714008808135986
BROOKLYN,STATE STREET,1.0567259,0.8583157,-0.9783536195755005
