boro,street,RMSE,MAE,R2
BRONX,LAFAYETTE AVENUE,1.4768989,0.9710977,-0.3475576639175415
BRONX,LONGWOOD AVENUE,0.31537098,0.46006432,0.41006922721862793
BRONX,MAJOR DEEGAN EXPRESSWAY,1.1045467,0.9699153,-26.01453399658203
BRONX,PELHAM BRIDGE,1.815022,0.98233336,-0.10188508033752441
BRONX,PELHAM PARKWAY,0.34390846,0.45954582,0.5579118728637695
BRONX,PELHAM PARKWAY SOUTH,1.3837997,1.0245343,-0.9374690055847168
BRONX,PROSPECT AVENUE,0.5810454,0.5287049,0.5655789375305176
BRONX,RANDALL AVENUE,0.55864096,0.6445392,-3.7453627586364746
BRONX,RIVER AVENUE,0.3492083,0.40205866,0.690662682056427
BRONX,SEDGWICK AVENUE,0.6406419,0.5793291,0.2862536311149597
BRONX,SOUTHERN BLVD,0.88096315,0.7092874,-0.2087235450744629
BRONX,SOUTHERN BOULEVARD,3.1385603,1.2304543,-0.29342687129974365
BRONX,VAN CORTLANDT PARK EAST,0.41360134,0.5810582,-1.5712742805480957
BRONX,WASHINGTON AVENUE,1.591234,1.1872151,-23.996288299560547
BRONX,WEBSTER AVENUE,0.7567697,0.721215,0.31206822395324707
BRONX,WESTCHESTER AVENUE,0.2510287,0.39344323,0.7529550194740295
BRONX,WESTCHESTER AVENUE BRIDGE,0.42103752,0.4643097,0.48945140838623047
BRONX,WHITE PLAINS ROAD,0.8990809,0.8184808,0.1873120665550232
BRONX,BEDFORD PARK BOULEVARD,0.5661576,0.58171445,0.32637643814086914
BRONX,BOSTON ROAD,1.0411364,0.8948772,-24.447872161865234
BRONX,BROADWAY,0.57317597,0.64511955,-0.07641434669494629
BRONX,BRONXWOOD AVENUE,0.30289578,0.48779055,-1.1578431129455566
BRONX,BRUCKNER BOULEVARD,1.294239,1.0482316,-29.320552825927734
BRONX,EAST 138 STREET,0.6320753,0.6561267,-1.435431957244873
BRONX,EAST 149 STREET,0.52908546,0.58874744,0.5347337126731873
BRONX,EAST 161 STREET,0.40895915,0.4559883,0.3038255572319031
BRONX,EAST 163 STREET,0.12606877,0.26527953,0.7400784492492676
BRONX,EAST 174 ST BRIDGE,0.23641844,0.33314738,0.7167062163352966
BRONX,EAST FORDHAM ROAD,1.749213,1.2351619,-112.07215118408203
BRONX,EAST GUN HILL ROAD,1.4135318,0.9790049,-0.33063459396362305
BRONX,EAST TREMONT AVENUE,1.14728,0.9043705,-0.15767979621887207
BRONX,GRAND CONCOURSE,0.87170154,0.6835073,0.1078794002532959
BRONX,HUNTS POINT AVENUE,0.78176385,0.8198503,-5.913954734802246
BRONX,JACKSON AVENUE,0.892761,0.7868828,-0.5049523115158081
BRONX,JEROME AVENUE,0.8450017,0.74234086,0.2583460807800293
BROOKLYN,1 AVENUE,0.40458167,0.49176162,0.282819926738739
BROOKLYN,26 AVENUE,0.21310636,0.29462832,0.7838613986968994
BROOKLYN,KINGS HIGHWAY,0.54613316,0.5299101,0.3830127716064453
