boro,street,RMSE,MAE,R2
BRONX,LAFAYETTE AVENUE,1.2449257,0.99418736,-0.4141111373901367
BRONX,LONGWOOD AVENUE,0.6102276,0.48626325,0.3034328818321228
BRONX,MAJOR DEEGAN EXPRESSWAY,0.9383031,0.84244764,-20.53276252746582
BRONX,PELHAM BRIDGE,1.5220289,1.1033232,-0.40637195110321045
BRONX,PELHAM PARKWAY,0.57203186,0.44016176,0.5793640613555908
BRONX,PELHAM PARKWAY SOUTH,1.3143378,1.1042736,-1.4186642169952393
BRONX,PROSPECT AVENUE,0.77303356,0.537639,0.5532160401344299
BRONX,RANDALL AVENUE,0.82232666,0.7249201,-4.744144916534424
BRONX,RIVER AVENUE,0.59662694,0.4088067,0.6846785545349121
BRONX,SEDGWICK AVENUE,0.78055334,0.56130564,0.32121264934539795
BRONX,SOUTHERN BLVD,0.92324924,0.68978477,-0.16951870918273926
BRONX,SOUTHERN BOULEVARD,1.7776449,1.2135361,-0.3022710084915161
BRONX,VAN CORTLANDT PARK EAST,0.65976846,0.5919317,-1.7061355113983154
BRONX,WASHINGTON AVENUE,1.2858917,1.1531556,-24.974685668945312
BRONX,WEBSTER AVENUE,1.0550251,0.86411643,-0.011829137802124023
BRONX,WESTCHESTER AVENUE,0.552011,0.4464839,0.7001194953918457
BRONX,WESTCHESTER AVENUE BRIDGE,0.6451144,0.4737922,0.49535053968429565
BRONX,WHITE PLAINS ROAD,0.94868183,0.81490314,0.18648380041122437
BRONX,BEDFORD PARK BOULEVARD,0.91248184,0.6948612,0.009331464767456055
BRONX,BOSTON ROAD,1.0953838,0.938624,-28.327594757080078
BRONX,BROADWAY,0.75816953,0.64606833,-0.07950377464294434
BRONX,BRONXWOOD AVENUE,0.67148435,0.61030054,-2.2121691703796387
BRONX,BRUCKNER BOULEVARD,1.0855248,1.0058107,-26.605913162231445
BRONX,EAST 138 STREET,0.83156025,0.7116192,-1.6643705368041992
BRONX,EAST 149 STREET,0.75968605,0.5969452,0.4924907088279724
BRONX,EAST 161 STREET,0.62250847,0.44435826,0.34032702445983887
