boro,street,RMSE,MAE,R2
BRONX,LAFAYETTE AVENUE,1.4527464,1.1409903,-0.9256448745727539
BRONX,LONGWOOD AVENUE,0.7549418,0.52424014,-0.06612050533294678
BRONX,MAJOR DEEGAN EXPRESSWAY,0.95954734,0.5632252,-21.51885223388672
BRONX,PELHAM BRIDGE,1.3254209,0.9676145,-0.06650292873382568
BRONX,PELHAM PARKWAY,1.3478211,1.0920337,-1.3352346420288086
BRONX,PELHAM PARKWAY SOUTH,1.6271043,1.3599266,-2.7067418098449707
BRONX,PROSPECT AVENUE,0.77601427,0.5625399,0.5497639179229736
BRONX,RANDALL AVENUE,0.46993586,0.30160326,-0.8759180307388306
BRONX,RIVER AVENUE,0.60387677,0.42328727,0.6769688725471497
BRONX,SEDGWICK AVENUE,0.72659475,0.58171844,0.41181617975234985
BRONX,SOUTHERN BLVD,0.701824,0.5761479,0.3241884112358093
BRONX,SOUTHERN BOULEVARD,1.7895446,1.2729657,-0.3197643756866455
BRONX,VAN CORTLANDT PARK EAST,0.34444582,0.25114828,0.2624214291572571
BRONX,WASHINGTON AVENUE,1.2292672,1.1004109,-22.73745346069336
BRONX,WEBSTER AVENUE,1.0400041,0.8263399,0.01677769422531128
BRONX,WESTCHESTER AVENUE,0.6614504,0.49546257,0.5694265365600586
BRONX,WESTCHESTER AVENUE BRIDGE,0.6632952,0.49184263,0.46650540828704834
BRONX,WHITE PLAINS ROAD,0.7634961,0.56160796,0.4730873107910156
BRONX,BEDFORD PARK BOULEVARD,0.9622719,0.7703253,-0.1017310619354248
BRONX,BOSTON ROAD,1.1929123,0.95320976,-33.782508850097656
BRONX,BROADWAY,0.81426674,0.65220344,-0.24515926837921143
BRONX,BRONXWOOD AVENUE,0.5956428,0.43039355,-1.5275423526763916
BRONX,BRUCKNER BOULEVARD,1.0644101,0.78996736,-25.54242515563965
BRONX,EAST 138 STREET,0.8923979,0.6924242,-2.0684866905212402
BRONX,EAST 149 STREET,0.8613346,0.6915597,0.3475915789604187
BRONX,EAST 161 STREET,0.7593766,0.56216615,0.01835930347442627
BRONX,EAST 163 STREET,0.4469748,0.3395749,0.5880913734436035
BRONX,EAST 174 ST BRIDGE,0.54932356,0.40747592,0.6384135484695435
BRONX,EAST FORDHAM ROAD,1.3861108,1.3362132,-123.19636535644531
BRONX,EAST GUN HILL ROAD,1.2575297,1.0300663,-0.48864030838012695
BRONX,EAST TREMONT AVENUE,0.8742808,0.6770951,0.2287042737007141
BRONX,GRAND CONCOURSE,0.9792115,0.7403385,0.01868414878845215
BRONX,HUNTS POINT AVENUE,0.38014695,0.33727586,-0.27806806564331055
BRONX,JACKSON AVENUE,0.6240595,0.4878727,0.3434928059577942
BRONX,JEROME AVENUE,0.9262931,0.7487514,0.24692106246948242
BROOKLYN,1 AVENUE,0.6317346,0.51325774,0.2925572395324707
BROOKLYN,26 AVENUE,0.5793302,0.43104026,0.6596010327339172
BROOKLYN,KINGS HIGHWAY,0.8498314,0.5912391,0.18408828973770142
BROOKLYN,LINDEN BOULEVARD,1.915453,1.638882,-1.803560733795166
BROOKLYN,3 AVENUE,1.0272337,0.7291721,-0.2404094934463501
BROOKLYN,METROPOLITAN AVENUE,0.8575661,0.65375084,0.40573757886886597
BROOKLYN,MYRTLE AVENUE,0.68591696,0.5388699,0.473959743976593
BROOKLYN,NEPTUNE AVENUE,0.6062492,0.43073598,-4.432444095611572
BROOKLYN,NEW YORK AVENUE,0.65410334,0.5552014,-0.2177743911743164
BROOKLYN,NORTH CONDUIT AVENUE,0.7069699,0.594149,0.24955081939697266
BROOKLYN,OCEAN AVENUE,1.2035083,0.89548856,0.23491758108139038
BROOKLYN,OCEAN PARKWAY,0.25522634,0.20156662,-1.5726325511932373
BROOKLYN,PENNSYLVANIA AVENUE,0.63826877,0.46388718,-0.06144678592681885
BROOKLYN,PROSPECT AVENUE,0.96263474,0.8182944,0.06226801872253418
BROOKLYN,PULASKI BRIDGE,0.9493011,0.81224394,-0.7973980903625488
BROOKLYN,RALPH AVENUE,0.5421791,0.40099964,0.6190828084945679
BROOKLYN,REMSEN AVENUE,0.6711209,0.5277269,0.460388720035553
BROOKLYN,4 AVENUE,0.812262,0.64613014,0.3550683856010437
BROOKLYN,SMITH STREET,0.8134291,0.6014768,-4.570287227630615
BROOKLYN,STATE STREET,0.7428871,0.61174893,0.022256553173065186
BROOKLYN,SURF AVENUE,0.92960143,0.8190956,-2.8252570629119873
BROOKLYN,SUTTER AVENUE,1.1112548,0.8343151,-0.14152348041534424
BROOKLYN,TOMPKINS AVENUE,0.53224975,0.45931873,-0.2018120288848877
BROOKLYN,WASHINGTON AVENUE,0.8378936,0.5442426,0.26410847902297974
BROOKLYN,5 AVENUE,0.9291128,0.75790006,0.1080707311630249
BROOKLYN,58 STREET,1.6181289,1.2051353,-0.21696841716766357
BROOKLYN,65 STREET,0.66405433,0.52795064,0.6361487507820129
BROOKLYN,86 STREET,0.83640385,0.5964485,-0.03729414939880371
BROOKLYN,9 AVENUE,0.8100612,0.6643522,0.0029287338256835938
BROOKLYN,9 STREET,0.9940953,0.72375244,-0.3656562566757202
BROOKLYN,ATLANTIC AVENUE,0.67085874,0.46315226,0.3874956965446472
BROOKLYN,AVENUE B,1.4064792,0.9371012,-0.18668735027313232
BROOKLYN,AVENUE D,0.5284073,0.3984843,0.6031384468078613
BROOKLYN,AVENUE J,0.93151546,0.8027303,-1.6947309970855713
BROOKLYN,AVENUE M,0.8942053,0.7188397,-3.0173120498657227
BROOKLYN,BAY PARKWAY,1.2462566,0.9424282,-0.4227418899536133
BROOKLYN,BEDFORD AVENUE,0.6352775,0.5400198,-0.5796762704849243
BROOKLYN,BROADWAY,0.8816579,0.7597733,0.10894560813903809
BROOKLYN,14 AVENUE,0.80445814,0.56492305,0.4467945694923401
BROOKLYN,BROOKLYN QUEENS EXPRESSWAY,1.43434,1.2829595,-74.15534210205078
BROOKLYN,BUSHWICK AVENUE,0.76764005,0.56889415,-0.12874317169189453
BROOKLYN,CHURCH AVENUE,0.70330817,0.5813711,0.023796558380126953
BROOKLYN,COLUMBIA STREET,0.825464,0.6530471,0.26103419065475464
BROOKLYN,CORTELYOU ROAD,0.63858414,0.49482644,0.4214510917663574
BROOKLYN,CROPSEY AVENUE,0.7063694,0.53696316,0.13481128215789795
BROOKLYN,CROPSEY AVENUE BRIDGE,0.41860136,0.32717097,0.7851204872131348
BROOKLYN,DEKALB AVENUE,1.8288742,1.7421074,-52.18256378173828
BROOKLYN,EMMONS AVENUE,0.9819948,0.70950633,0.2633780837059021
BROOKLYN,FLATBUSH AVENUE,0.9706343,0.78804827,-0.7647391557693481
BROOKLYN,FLATLANDS AVENUE,0.62732375,0.43136632,0.6217440366744995
BROOKLYN,FLUSHING AVENUE,1.1855053,0.98799646,-0.02048337459564209
BROOKLYN,FT HAMILTON PARKWAY,0.7222958,0.61963534,-0.042209506034851074
BROOKLYN,FULTON STREET,1.6582513,1.4646528,-2.7794251441955566
BROOKLYN,GRAND STREET BRIDGE,0.86138636,0.60703063,0.25025296211242676
BROOKLYN,HAMILTON AVENUE BRIDGE,1.1171359,0.82243246,-0.2160050868988037
BROOKLYN,HICKS STREET,0.7949899,0.6493907,0.27576661109924316
BROOKLYN,JACKIE ROBINSON PARKWAY,0.88765466,0.69910926,0.001086592674255371
BROOKLYN,JAMAICA AVENUE,0.78985584,0.66962266,0.17628568410873413
BROOKLYN,JJ BYRNE MEMORIAL BRIDGE,0.9369878,0.80322117,-0.1682112216949463
MANHATTAN,1 AVENUE,1.3967352,1.2779348,-6.529592037200928
MANHATTAN,10 AVENUE,0.9242908,0.75305617,-1.3387560844421387
MANHATTAN,LAFAYETTE STREET,1.2702795,1.0495706,-1.7559471130371094
MANHATTAN,LEXINGTON AVENUE,0.8366459,0.73326296,0.02116912603378296
MANHATTAN,MADISON AVENUE,0.8283593,0.6271449,-0.30706334114074707
MANHATTAN,MADISON AVENUE BRIDGE,1.3266045,1.0703479,-1.2376248836517334
MANHATTAN,MADISON STREET,0.80082524,0.58482414,0.07816672325134277
MANHATTAN,MANHATTAN AVENUE,1.0378393,0.79180604,-0.23106086254119873
MANHATTAN,MANHATTAN BRIDGE,0.9946805,0.73625207,0.030732154846191406
MANHATTAN,PARK AVENUE,1.046127,0.70182925,0.014033019542694092
MANHATTAN,WADSWORTH AVENUE,0.72905743,0.5782283,0.35460954904556274
MANHATTAN,WEST 165 STREET,1.7125087,1.3893827,-1.4609227180480957
MANHATTAN,WEST 42 STREET,1.2564678,1.1865847,-37.11223220825195
MANHATTAN,WEST END AVENUE,1.1245313,0.89921516,-2.137289047241211
MANHATTAN,YORK AVENUE,0.75354975,0.61724126,-0.06404507160186768
MANHATTAN,5 AVENUE,0.7651147,0.63477623,0.13932442665100098
MANHATTAN,11 AVENUE,1.0040303,0.8183713,-2.359686851501465
MANHATTAN,7 AVENUE,0.9785201,0.7994306,0.33642107248306274
MANHATTAN,8 AVENUE,1.0809352,0.90059596,-1.19608736038208
MANHATTAN,9 AVENUE,1.2895616,1.0803818,-0.4132446050643921
MANHATTAN,AMSTERDAM AVENUE,0.9633589,0.76713645,-1.3840043544769287
MANHATTAN,AUDUBON AVENUE,0.846307,0.68712527,0.10185235738754272
MANHATTAN,AVENUE B,1.3909879,1.0154029,-0.2064117193222046
MANHATTAN,AVENUE OF THE AMERICAS,0.45465508,0.33620584,0.35777467489242554
MANHATTAN,12 AVENUE,0.9653784,0.8524971,-17.958982467651367
MANHATTAN,BROADWAY,0.6439865,0.5238754,0.31667548418045044
MANHATTAN,BROADWAY BRIDGE,1.6556802,1.5670433,-6.653135776519775
MANHATTAN,CENTRAL PARK SOUTH,0.9496015,0.7987027,-0.48759567737579346
MANHATTAN,CENTRAL PARK WEST,0.6664021,0.5083706,0.3408661484718323
MANHATTAN,CHRYSTIE STREET,0.8916191,0.7575691,0.045157432556152344
MANHATTAN,COLUMBIA STREET,1.1356142,0.96878004,0.10993969440460205
MANHATTAN,COLUMBUS AVENUE,0.6182968,0.4679854,0.4399104118347168
MANHATTAN,145 STREET BRIDGE,0.9420907,0.7462533,-0.260337233543396
MANHATTAN,DYCKMAN STREET,1.0625048,0.8834638,-0.5711590051651001
MANHATTAN,F D R DRIVE,1.6497302,1.4602932,-1.8718228340148926
