street,RMSE,MAE,R2
1 AVENUE,0.73587245,0.5892672,0.39159148931503296
10 AVENUE,1.1211857,0.9738195,-2.4413013458251953
11 AVENUE,0.9733784,0.7786217,-2.1576828956604004
111 STREET,0.61671096,0.4524184,0.6704468727111816
12 AVENUE,0.9325878,0.8292665,-16.69291114807129
14 AVENUE,0.7495214,0.5348442,0.5421954989433289
145 STREET BRIDGE,0.96168804,0.7562931,-0.3133174180984497
188 STREET,1.177154,1.0114044,-0.09948348999023438
2 AVENUE,0.7266972,0.5901618,0.3680430054664612
21 STREET,1.6156241,1.305066,-15.666614532470703
26 AVENUE,0.66819197,0.45449087,0.5471667051315308
3 AVENUE,0.9217821,0.67001384,0.0052114129066467285
31 AVENUE,0.7623459,0.57510483,0.32296478748321533
34 AVENUE,0.28347957,0.14196952,-5.017144680023193
39 AVENUE,1.1542819,0.90083057,-0.6162829399108887
4 AVENUE,0.83870757,0.6767109,0.3123894929885864
45 AVENUE,0.48344567,0.36671698,0.38833731412887573
47 AVENUE,0.83705795,0.55100626,0.05763101577758789
48 STREET,1.1284488,0.96622574,-2.231424570083618
5 AVENUE,0.88888335,0.6775889,0.20176243782043457
58 STREET,1.545929,1.0499009,-0.08970022201538086
65 STREET,0.6984225,0.57112545,0.597511887550354
7 AVENUE,1.0447012,0.8308704,0.24362480640411377
73 PLACE,0.8995496,0.7440477,-0.10014975070953369
8 AVENUE,1.0394223,0.8532605,-1.0306463241577148
80 STREET,0.53735393,0.41521245,0.6659471988677979
86 STREET,0.89069515,0.63788795,-0.17632687091827393
9 AVENUE,0.6223165,0.49867645,0.3527848720550537
9 STREET,0.97421366,0.7073385,-0.31157684326171875
AMBOY ROAD,0.62656534,0.50417924,0.3687639832496643
AMSTERDAM AVENUE,0.9191704,0.7481177,-1.1703155040740967
ARTHUR KILL ROAD,0.76181215,0.58420426,0.4365662932395935
ASTORIA BOULEVARD,1.2646105,0.9542949,-0.9500515460968018
ATLANTIC AVENUE,0.73692364,0.5192938,0.2042757272720337
AUDUBON AVENUE,0.8583384,0.6970213,0.07613390684127808
AVENUE B,1.3572074,0.95041215,-0.13875031471252441
AVENUE D,0.539899,0.42356107,0.5856888890266418
AVENUE J,0.85621995,0.745073,-1.2767012119293213
AVENUE M,0.90826577,0.68906987,-3.1446423530578613
AVENUE OF THE AMERICAS,0.4276633,0.31944552,0.4317658543586731
BAY PARKWAY,1.2512946,0.9696094,-0.4342679977416992
BEACH 20 STREET,1.0983608,0.9121878,0.10376095771789551
BEDFORD AVENUE,0.7050531,0.59549993,-0.9457398653030396
BEDFORD PARK BOULEVARD,0.8632542,0.68325984,0.11333948373794556
BELT PARKWAY,1.0852569,0.92126876,-0.803247332572937
BORDEN AVENUE BRIDGE,0.96187,0.787943,0.2086954116821289
BOSTON ROAD,1.5872126,1.2087624,-60.576358795166016
BROADWAY,0.6808367,0.54082847,0.2672990560531616
BROADWAY BRIDGE,1.4760659,1.29123,-5.082721710205078
BRONXWOOD AVENUE,0.6015163,0.4205995,-1.5776352882385254
BROOKLYN QUEENS EXPRESSWAY,1.6149126,1.5260458,-94.26947021484375
BRUCKNER BOULEVARD,1.1773713,0.9209155,-31.475025177001953
BUSHWICK AVENUE,1.1269376,0.91159457,-1.4326503276824951
CENTRAL AVENUE,0.37941036,0.31604257,-0.08664453029632568
CENTRAL PARK SOUTH,0.9014696,0.75261074,-0.34061574935913086
CENTRAL PARK WEST,0.8056526,0.6159202,0.036622583866119385
CHRYSTIE STREET,0.9186576,0.76975447,-0.01363217830657959
CHURCH AVENUE,0.7628069,0.6225625,-0.1483604907989502
COLUMBIA STREET,0.7300543,0.517678,0.4017104506492615
COLUMBUS AVENUE,0.5778996,0.46985534,0.5107078552246094
COOPER AVENUE,0.94783247,0.70771664,0.218292236328125
CORTELYOU ROAD,0.5287905,0.40017503,0.6032918691635132
CRESCENT STREET,0.6903904,0.55399257,-0.3315708637237549
CROPSEY AVENUE,0.6677508,0.50806916,0.22682839632034302
CROPSEY AVENUE BRIDGE,0.4614993,0.35809916,0.7388224601745605
CROSS BAY BOULEVARD,0.9954643,0.7969587,-0.25116634368896484
DEKALB AVENUE,1.6684378,1.5466017,-43.261043548583984
DYCKMAN STREET,1.2851726,1.1112307,-1.2986946105957031
EAST 138 STREET,0.49890628,0.39471436,0.040941476821899414
EAST 149 STREET,0.91835827,0.749709,0.2583482265472412
EAST 161 STREET,0.986924,0.76703125,-0.6580802202224731
EAST 163 STREET,0.5167424,0.396238,0.4494674801826477
EAST 174 ST BRIDGE,0.53594905,0.3822062,0.6558064818382263
EAST FORDHAM ROAD,1.3109204,1.2223374,-110.08760070800781
EAST GUN HILL ROAD,1.3330208,1.0822479,-0.6727347373962402
EAST TREMONT AVENUE,0.738031,0.5745582,0.4503728151321411
EMMONS AVENUE,0.87722504,0.6617093,0.41217464208602905
F D R DRIVE,1.633297,1.4326862,-1.814894199371338
FLATBUSH AVENUE,0.967484,0.76907617,-0.7533025741577148
FLATLANDS AVENUE,0.5707118,0.3942536,0.6869338750839233
FLUSHING AVENUE,0.8708089,0.6699455,0.04383641481399536
FREDERICK DOUGLASS BOULEVARD,1.4451913,1.272406,-4.873775959014893
FRESH KILLS BRIDGE,0.8596165,0.6892594,0.16234266757965088
FT HAMILTON PARKWAY,0.77919984,0.6497867,-0.21289300918579102
FULTON STREET,1.8380623,1.634077,-3.643500328063965
GRAND CONCOURSE,0.8851731,0.6531358,0.19811493158340454
GRAND STREET BRIDGE,0.81541246,0.5570073,0.32397758960723877
HAMILTON AVENUE BRIDGE,0.8878977,0.66531724,0.23184430599212646
HICKS STREET,0.78323203,0.6090188,0.2970309853553772
HILLSIDE AVENUE,0.78375804,0.5574916,0.20540648698806763
HOLLIS COURT BOULEVARD,0.5199854,0.4067524,0.6017149090766907
HOOK CREEK BRIDGE,0.8884945,0.67074573,-0.015963315963745117
HUGUENOT AVENUE,0.41801783,0.30806968,0.7951245307922363
HUNTS POINT AVENUE,0.31016138,0.2724995,0.1492021679878235
HYLAN BOULEVARD,0.5402794,0.3978425,0.2641752362251282
JACKIE ROBINSON PARKWAY,1.5680588,1.2658584,-5.488886833190918
JACKSON AVENUE,1.4453356,1.1918488,-644.447509765625
JAMAICA AVENUE,0.9651386,0.6748103,0.2339416742324829
JEROME AVENUE,0.82207155,0.653226,0.40685218572616577
JJ BYRNE MEMORIAL BRIDGE,1.6832573,1.3832095,-1.9208452701568604
JUNCTION BOULEVARD,0.8668161,0.76490366,-28.914081573486328
KINGS HIGHWAY,0.8381205,0.58481616,0.20642024278640747
KISSENA BOULEVARD,1.5079384,1.3211582,-218.5209503173828
LAFAYETTE AVENUE,1.4342945,1.126277,-0.8770389556884766
LAFAYETTE STREET,1.1879295,0.9278089,-1.410202980041504
LEXINGTON AVENUE,0.9140867,0.792017,-0.16842031478881836
LIBERTY AVENUE,0.7650478,0.59875363,-0.0011751651763916016
LINDEN BOULEVARD,0.6221378,0.49022487,0.09235650300979614
LONG ISLAND EXPRESSWAY,0.68415236,0.54564345,0.42147010564804077
LONGWOOD AVENUE,0.7906178,0.56328356,-0.1692638397216797
MADISON AVENUE,0.6859884,0.5388341,0.10361886024475098
MADISON AVENUE BRIDGE,1.1425105,0.9172855,-0.6596817970275879
MADISON STREET,0.69014,0.51048356,0.31537729501724243
MAIN STREET,1.0951747,0.7716194,-0.04563760757446289
MAJOR DEEGAN EXPRESSWAY,0.7911659,0.44837928,-14.309061050415039
MANHATTAN AVENUE,1.1511977,0.9490774,-0.5146738290786743
MANHATTAN BRIDGE,0.9877821,0.74782383,0.044129788875579834
MANOR ROAD,0.80141735,0.6156859,0.2757313847541809
MARATHON PARKWAY,0.68376946,0.49221757,0.30016767978668213
MARTLING AVENUE,0.8469394,0.70325816,0.15741562843322754
MERRICK BOULEVARD,0.5503429,0.4470078,0.6332447528839111
METROPOLITAN AVENUE,0.8732827,0.66493535,0.38375598192214966
MYRTLE AVENUE,0.72344196,0.5557862,0.4358566999435425
NEPTUNE AVENUE,0.7093714,0.42404824,-6.437726020812988
NEW YORK AVENUE,0.60615,0.48385286,-0.04576539993286133
NORTH CHANNEL BRIDGE,0.57801384,0.40991005,0.7206077575683594
NORTH CONDUIT AVENUE,0.7308838,0.57903296,0.19792306423187256
NORTHERN BLVD,0.6359857,0.48225448,0.5421939492225647
NORTHERN BOULEVARD,0.9942179,0.64094573,0.07618427276611328
OCEAN AVENUE,1.2554315,0.9345445,0.16747725009918213
OCEAN PARKWAY,0.1831235,0.14354312,-0.32438719272613525
OCEAN TERRACE,0.7624253,0.4988539,0.38475632667541504
