street,RMSE,MAE,R2
1 AVENUE,0.5302576,0.4366936,0.6840895414352417
10 AVENUE,1.482796,1.1618782,-5.0190839767456055
11 AVENUE,0.9889439,0.7998952,-2.2594802379608154
111 STREET,0.52893543,0.41189712,0.7575805187225342
12 AVENUE,1.3360902,1.0492018,-35.315452575683594
14 AVENUE,0.6292928,0.4413253,0.6772862672805786
145 STREET BRIDGE,1.2584213,0.97202855,-1.2488133907318115
188 STREET,1.1493131,0.99540144,-0.04809069633483887
2 AVENUE,0.74259096,0.61383027,0.3400973677635193
21 STREET,1.5968119,1.4084882,-15.280744552612305
26 AVENUE,0.7512114,0.52987903,0.4276520013809204
3 AVENUE,0.95224404,0.6788986,-0.06162416934967041
31 AVENUE,0.8200451,0.6097532,0.2166016697883606
34 AVENUE,0.40867814,0.22221415,-11.505749702453613
39 AVENUE,1.3843298,1.0981083,-1.3247315883636475
4 AVENUE,0.69177836,0.5133057,0.5322052240371704
45 AVENUE,0.40098146,0.29618898,0.5792101621627808
47 AVENUE,0.79648167,0.5405656,0.14677900075912476
48 STREET,0.9058851,0.7583903,-1.0824596881866455
5 AVENUE,0.8311269,0.62437576,0.30212557315826416
58 STREET,1.446774,0.9401207,0.04560214281082153
65 STREET,0.7673985,0.61965233,0.5140869617462158
7 AVENUE,1.0731783,0.78557503,0.20182734727859497
73 PLACE,0.94668144,0.7686104,-0.21845436096191406
8 AVENUE,1.0823286,0.86128634,-1.2017524242401123
80 STREET,0.46087036,0.3570048,0.7542735934257507
86 STREET,0.79726607,0.58021843,0.05751079320907593
9 AVENUE,0.75030243,0.6288992,0.0591968297958374
9 STREET,0.8856656,0.64448667,-0.08398902416229248
AMBOY ROAD,0.6256082,0.46045858,0.37069106101989746
AMSTERDAM AVENUE,1.0637127,0.8506054,-1.9065618515014648
ARTHUR KILL ROAD,0.7676677,0.54434633,0.4278715252876282
ASTORIA BOULEVARD,1.0649664,0.8303365,-0.38294315338134766
ATLANTIC AVENUE,0.7500226,0.52835125,0.1757359504699707
AUDUBON AVENUE,0.8786598,0.7025383,0.03187060356140137
AVENUE B,1.1137886,0.70667356,0.2330949902534485
AVENUE D,0.42628777,0.3331373,0.7417101860046387
AVENUE J,0.7726013,0.61316305,-0.8537288904190063
AVENUE M,0.9862204,0.7271708,-3.8866262435913086
AVENUE OF THE AMERICAS,0.4956497,0.3692984,0.23673903942108154
BAY PARKWAY,1.2733865,0.9492041,-0.48535966873168945
BEACH 20 STREET,1.3513346,1.0574082,-0.3566243648529053
BEDFORD AVENUE,0.6699213,0.5670569,-0.7566637992858887
BEDFORD PARK BOULEVARD,0.79418576,0.61516535,0.24954599142074585
BELT PARKWAY,1.1428444,0.9786787,-0.9996979236602783
BORDEN AVENUE BRIDGE,0.8905203,0.7553252,0.32173627614974976
BOSTON ROAD,1.6692262,1.2520981,-67.10425567626953
BROADWAY,0.93313825,0.71234065,-0.37636256217956543
BROADWAY BRIDGE,1.5852715,1.388067,-6.016068458557129
BRONXWOOD AVENUE,0.5076875,0.3133166,-0.8361983299255371
BROOKLYN QUEENS EXPRESSWAY,1.184551,1.0618954,-50.258182525634766
BRUCKNER BOULEVARD,1.2947708,0.9231499,-38.27429962158203
BUSHWICK AVENUE,0.49105284,0.37826124,0.5381124019622803
CENTRAL AVENUE,0.4877507,0.33136433,-0.7958289384841919
CENTRAL PARK SOUTH,1.0968198,0.8849803,-0.9845988750457764
CENTRAL PARK WEST,0.9571848,0.6767775,-0.35985445976257324
CHRYSTIE STREET,0.9236893,0.76836634,-0.02476644515991211
CHURCH AVENUE,0.93747556,0.7364041,-0.7344787120819092
COLUMBIA STREET,0.4058974,0.29697627,0.8150588274002075
COLUMBUS AVENUE,0.66967547,0.5418162,0.34295934438705444
COOPER AVENUE,1.0528679,0.7129932,0.03544056415557861
CORTELYOU ROAD,0.49428982,0.38271374,0.6533691883087158
CRESCENT STREET,0.61249995,0.47868308,-0.04806196689605713
CROPSEY AVENUE,0.49374565,0.3600704,0.5772790908813477
CROPSEY AVENUE BRIDGE,0.423033,0.3318093,0.7805466055870056
CROSS BAY BOULEVARD,0.71380967,0.581938,0.356677770614624
DEKALB AVENUE,1.5692387,1.3130889,-38.15431213378906
DYCKMAN STREET,0.97481614,0.77279973,-0.32252490520477295
EAST 138 STREET,0.585762,0.4633803,-0.3220553398132324
EAST 149 STREET,1.1477554,0.79948443,-0.15844249725341797
