street,RMSE,MAE,R2
1 AVENUE,0.5957999,0.46757326,0.6011670231819153
10 AVENUE,0.81537515,0.7825176,-0.8200469017028809
11 AVENUE,0.9455686,0.8147491,-1.979828119277954
111 STREET,0.58980286,0.42401168,0.698577344417572
12 AVENUE,1.1027226,1.0219233,-23.737308502197266
14 AVENUE,0.65664965,0.46815154,0.6486180424690247
145 STREET BRIDGE,0.558667,0.43868625,0.5567922592163086
188 STREET,1.0509857,0.9228285,0.12357300519943237
2 AVENUE,0.9359833,0.79703826,-0.04837524890899658
21 STREET,0.97819585,0.8604562,-5.109679222106934
26 AVENUE,0.65504277,0.4633809,0.5648137331008911
3 AVENUE,0.85707253,0.6784126,0.1399783492088318
31 AVENUE,0.85618526,0.62213933,0.14602994918823242
34 AVENUE,1.1950834,1.0802504,-105.94076538085938
39 AVENUE,0.6086032,0.46859068,0.5506734251976013
4 AVENUE,0.90408015,0.7306707,0.20102113485336304
45 AVENUE,0.6213316,0.48833314,-0.010330557823181152
47 AVENUE,0.7513091,0.5219493,0.24081575870513916
48 STREET,0.36317694,0.27410838,0.665291428565979
5 AVENUE,0.83207476,0.63275194,0.3005329370498657
58 STREET,1.7468275,1.1316165,-0.391323447227478
65 STREET,1.0105292,0.7628004,0.15741395950317383
7 AVENUE,1.191657,1.1059548,0.015862882137298584
73 PLACE,0.814579,0.6548074,0.09787243604660034
8 AVENUE,0.7979449,0.64330006,-0.1967296600341797
80 STREET,0.51812184,0.41662234,0.6894310712814331
86 STREET,0.5103336,0.41350764,0.6138303279876709
9 AVENUE,0.54733264,0.43684262,0.49935632944107056
9 STREET,0.7250468,0.49380136,0.2735304832458496
AMBOY ROAD,0.5580158,0.44842273,0.4993293881416321
AMSTERDAM AVENUE,0.61897343,0.5206408,0.015819251537322998
ARTHUR KILL ROAD,0.7828477,0.58227146,0.4050210118293762
ASTORIA BOULEVARD,0.77505976,0.52298,0.26750802993774414
ATLANTIC AVENUE,0.7381555,0.58684355,0.20161312818527222
AUDUBON AVENUE,0.9412664,0.78180057,-0.1110076904296875
AVENUE B,0.93264765,0.57936984,0.4622613787651062
AVENUE D,0.49087822,0.37341577,0.6575090885162354
AVENUE J,0.63491184,0.5591721,-0.25187838077545166
AVENUE M,0.741963,0.6070633,-1.7658309936523438
AVENUE OF THE AMERICAS,0.7908505,0.6693771,-0.9431761503219604
BAY PARKWAY,1.1398953,0.9356749,-0.19025814533233643
BEACH 20 STREET,1.1007617,0.8036185,0.09983843564987183
BEDFORD AVENUE,0.6978882,0.5931908,-0.9063948392868042
BEDFORD PARK BOULEVARD,0.84985167,0.6573221,0.14065766334533691
BELT PARKWAY,1.1492906,0.9617948,-1.0223197937011719
BORDEN AVENUE BRIDGE,0.95732737,0.7886007,0.21615195274353027
BOSTON ROAD,1.1541198,0.99385566,-31.55710220336914
BROADWAY,0.93672144,0.7397456,-0.3869532346725464
BROADWAY BRIDGE,1.566996,1.3670527,-5.855233192443848
BRONXWOOD AVENUE,0.6097166,0.54737943,-1.6483943462371826
BROOKLYN QUEENS EXPRESSWAY,1.3977202,1.3486081,-70.36679077148438
BRUCKNER BOULEVARD,1.1515144,1.0994366,-30.064281463623047
BUSHWICK AVENUE,0.5472529,0.44735223,0.4263380765914917
CENTRAL AVENUE,0.60614425,0.5093394,-1.7734546661376953
CENTRAL PARK SOUTH,0.69272155,0.56478274,0.2083749771118164
CENTRAL PARK WEST,0.7548197,0.6070639,0.15435653924942017
CHRYSTIE STREET,0.86980385,0.7359748,0.09131014347076416
CHURCH AVENUE,0.5859596,0.51015705,0.3223828077316284
COLUMBIA STREET,0.5897024,0.4537829,0.6096385717391968
COLUMBUS AVENUE,0.5846961,0.44529295,0.4991312026977539
COOPER AVENUE,0.89574033,0.66246986,0.3018551468849182
CORTELYOU ROAD,0.5441049,0.4201433,0.5799809694290161
CRESCENT STREET,0.43047893,0.37111205,0.4822995066642761
CROPSEY AVENUE,0.45363772,0.33007884,0.6431666612625122
CROPSEY AVENUE BRIDGE,0.43110466,0.34205833,0.7720921635627747
CROSS BAY BOULEVARD,0.5466619,0.42033768,0.6226873993873596
DEKALB AVENUE,0.95144266,0.8696853,-13.393513679504395
DYCKMAN STREET,0.6368629,0.46172738,0.4355177879333496
EAST 138 STREET,0.85738504,0.7277573,-1.8324286937713623
EAST 149 STREET,0.735646,0.5945284,0.5241023898124695
EAST 161 STREET,0.6318947,0.46167552,0.3202839493751526
EAST 163 STREET,0.38656065,0.30235988,0.6919153928756714
EAST 174 ST BRIDGE,0.4874187,0.3405659,0.715317964553833
EAST FORDHAM ROAD,1.3205945,1.2204938,-111.73323059082031
EAST GUN HILL ROAD,1.2143664,1.008507,-0.3882021903991699
EAST TREMONT AVENUE,1.0113513,0.79865897,-0.03210318088531494
EMMONS AVENUE,1.0017147,0.698981,0.23349601030349731
F D R DRIVE,1.3917698,1.1636217,-1.0439329147338867
FLATBUSH AVENUE,0.7385298,0.60110766,-0.021657586097717285
FLATLANDS AVENUE,0.5803747,0.44107637,0.6762428879737854
FLUSHING AVENUE,0.62524885,0.44572335,0.5070620179176331
FREDERICK DOUGLASS BOULEVARD,1.4454929,1.2858659,-4.876228332519531
FRESH KILLS BRIDGE,0.5652029,0.3605246,0.637869119644165
FT HAMILTON PARKWAY,0.6837492,0.6041548,0.06606113910675049
FULTON STREET,1.3166507,1.132194,-1.3826830387115479
GRAND CONCOURSE,0.94580704,0.7173674,0.0844947099685669
GRAND STREET BRIDGE,0.8331935,0.60262096,0.29417312145233154
HAMILTON AVENUE BRIDGE,0.9567918,0.82221985,0.10801339149475098
HICKS STREET,0.9444658,0.7068335,-0.022180914878845215
HILLSIDE AVENUE,0.77993757,0.5087961,0.21313422918319702
HOLLIS COURT BOULEVARD,0.45856684,0.3548815,0.6902459263801575
HOOK CREEK BRIDGE,0.93737036,0.7266891,-0.1308133602142334
HUGUENOT AVENUE,0.38461864,0.28850213,0.8265553116798401
HUNTS POINT AVENUE,0.8359984,0.76167303,-5.181044101715088
HYLAN BOULEVARD,0.4858566,0.39871255,0.4049495458602905
JACKIE ROBINSON PARKWAY,1.6291015,1.4576793,-6.003930568695068
JACKSON AVENUE,0.09836298,0.085666046,-1.98941969871521
JAMAICA AVENUE,0.6238232,0.41795585,0.6799590587615967
JEROME AVENUE,0.863368,0.68417704,0.3457622528076172
JJ BYRNE MEMORIAL BRIDGE,1.2450093,0.9632796,-0.5979112386703491
JUNCTION BOULEVARD,1.1284157,0.9690248,-49.69439697265625
KINGS HIGHWAY,0.77163184,0.5309205,0.32733649015426636
KISSENA BOULEVARD,1.5991616,1.4280708,-245.88429260253906
LAFAYETTE AVENUE,1.212356,0.9624997,-0.34108686447143555
LAFAYETTE STREET,0.92794526,0.8184245,-0.4706759452819824
LEXINGTON AVENUE,0.8116899,0.699617,0.07869255542755127
LIBERTY AVENUE,0.5805074,0.4858039,0.423567533493042
LINDEN BOULEVARD,0.5609935,0.41912565,0.2619975805282593
LONG ISLAND EXPRESSWAY,0.76010734,0.58007455,0.2858819365501404
LONGWOOD AVENUE,0.5687035,0.46948472,0.395006000995636
MADISON AVENUE,0.6507185,0.57439125,0.19342362880706787
MADISON AVENUE BRIDGE,0.84501565,0.6273005,0.09210866689682007
MADISON STREET,0.6798617,0.4923081,0.33561766147613525
MAIN STREET,0.89856786,0.7215754,0.29609155654907227
MAJOR DEEGAN EXPRESSWAY,0.97290885,0.8693351,-22.150358200073242
MANHATTAN AVENUE,0.5309687,0.36388817,0.6777764558792114
