street,RMSE,MAE,R2
1 AVENUE,0.87873083,0.7220631,0.13243508338928223
10 AVENUE,0.7481211,0.7200357,-0.5321857929229736
11 AVENUE,0.83554393,0.71199054,-1.3267173767089844
111 STREET,0.5351035,0.37775272,0.7518936991691589
12 AVENUE,1.0751723,1.0086107,-22.516681671142578
14 AVENUE,0.63598335,0.4325236,0.6703876256942749
145 STREET BRIDGE,0.5761292,0.49387226,0.5286526679992676
188 STREET,1.055897,0.92274183,0.11536258459091187
2 AVENUE,0.95035976,0.79634356,-0.08082807064056396
21 STREET,1.1036268,0.990149,-6.776985168457031
26 AVENUE,0.46367013,0.30908364,0.7819510102272034
3 AVENUE,0.85393584,0.68617135,0.1462618112564087
31 AVENUE,0.8188091,0.5768879,0.21896147727966309
34 AVENUE,1.3852472,1.2461598,-142.6817169189453
39 AVENUE,0.58066297,0.41745073,0.5909824371337891
4 AVENUE,0.9289512,0.76666725,0.15645700693130493
45 AVENUE,0.6775893,0.53745294,-0.20157170295715332
47 AVENUE,0.75279075,0.5587744,0.2378184199333191
48 STREET,0.49698564,0.43030122,0.37321585416793823
5 AVENUE,0.9066631,0.73514605,0.16950976848602295
58 STREET,1.7774844,1.1456324,-0.44058752059936523
65 STREET,1.037323,0.78891325,0.1121397614479065
7 AVENUE,1.2044234,1.112893,-0.005336642265319824
73 PLACE,0.80204767,0.64095163,0.1254151463508606
8 AVENUE,0.944699,0.80558735,-0.677402138710022
80 STREET,0.51668835,0.39379433,0.6911471486091614
86 STREET,0.5343467,0.4198533,0.5766338109970093
9 AVENUE,0.5364283,0.4184485,0.5191060304641724
9 STREET,0.6740061,0.45056993,0.37221211194992065
AMBOY ROAD,0.5791584,0.4694064,0.4606708884239197
AMSTERDAM AVENUE,0.6945913,0.5799516,-0.23933708667755127
ARTHUR KILL ROAD,0.7819038,0.58350265,0.4064549207687378
ASTORIA BOULEVARD,0.95967335,0.69971013,-0.12299883365631104
ATLANTIC AVENUE,0.6650959,0.5296916,0.3518340587615967
AUDUBON AVENUE,1.0063096,0.8401061,-0.26985812187194824
AVENUE B,1.220387,0.75378454,0.07927238941192627
AVENUE D,0.48720077,0.37750116,0.6626214981079102
AVENUE J,0.6612259,0.5715632,-0.3577975034713745
AVENUE M,0.8532827,0.71451217,-2.6580276489257812
AVENUE OF THE AMERICAS,0.8242045,0.68852186,-1.1105387210845947
BAY PARKWAY,1.1827227,0.9800802,-0.28137731552124023
BEACH 20 STREET,1.306622,1.0514153,-0.2683345079421997
BEDFORD AVENUE,0.7450678,0.6561009,-1.1728649139404297
BEDFORD PARK BOULEVARD,0.78829086,0.58946556,0.26064521074295044
BELT PARKWAY,1.091608,0.9246543,-0.824414849281311
BORDEN AVENUE BRIDGE,0.9572325,0.78909314,0.21630734205245972
BOSTON ROAD,1.1764818,1.0328166,-32.830955505371094
BROADWAY,0.71700454,0.57245344,0.1873852014541626
BROADWAY BRIDGE,1.5843233,1.3868006,-6.0076775550842285
BRONXWOOD AVENUE,0.52580315,0.46872824,-0.9695773124694824
BROOKLYN QUEENS EXPRESSWAY,1.3663837,1.3185405,-67.2026138305664
BRUCKNER BOULEVARD,1.0908484,1.0149807,-26.87734603881836
BUSHWICK AVENUE,0.56347674,0.46522325,0.3918203115463257
CENTRAL AVENUE,0.59966344,0.48618552,-1.7144653797149658
CENTRAL PARK SOUTH,0.55796087,0.4730818,0.4864181876182556
CENTRAL PARK WEST,0.8330064,0.6764125,-0.02990579605102539
CHRYSTIE STREET,0.8694422,0.73709977,0.09206545352935791
CHURCH AVENUE,0.56472266,0.49249083,0.3706105351448059
COLUMBIA STREET,0.6211776,0.42825902,0.5668556690216064
COLUMBUS AVENUE,0.5795301,0.45366454,0.507942795753479
COOPER AVENUE,0.90121615,0.6882641,0.293293297290802
CORTELYOU ROAD,0.5904153,0.42386055,0.5054400563240051
CRESCENT STREET,0.3790616,0.312046,0.5985842943191528
CROPSEY AVENUE,0.41166836,0.28512645,0.7061389684677124
CROPSEY AVENUE BRIDGE,0.42341858,0.33624014,0.7801463603973389
CROSS BAY BOULEVARD,0.623663,0.44522336,0.5089070796966553
DEKALB AVENUE,0.9973757,0.911205,-14.816819190979004
DYCKMAN STREET,0.7274085,0.57228094,0.26359760761260986
EAST 138 STREET,0.7456199,0.61770815,-1.1421117782592773
EAST 149 STREET,0.7361332,0.5918827,0.5234718322753906
EAST 161 STREET,0.62103015,0.44499275,0.343456506729126
EAST 163 STREET,0.35529602,0.28028387,0.7397352457046509
EAST 174 ST BRIDGE,0.50287026,0.35632357,0.6969825625419617
EAST FORDHAM ROAD,1.2533484,1.1614528,-100.5445327758789
EAST GUN HILL ROAD,1.1985043,0.98822725,-0.35217368602752686
EAST TREMONT AVENUE,1.0017769,0.8163488,-0.01265406608581543
EMMONS AVENUE,1.0603013,0.7581905,0.14121413230895996
F D R DRIVE,1.4270291,1.2270447,-1.1488072872161865
FLATBUSH AVENUE,0.72562164,0.58542967,0.013743877410888672
FLATLANDS AVENUE,0.5768921,0.43605816,0.6801167130470276
FLUSHING AVENUE,0.75210047,0.52921504,0.28675585985183716
FREDERICK DOUGLASS BOULEVARD,1.467299,1.3246114,-5.0548577308654785
FRESH KILLS BRIDGE,0.48047745,0.34381294,0.7383004426956177
FT HAMILTON PARKWAY,0.6489499,0.5808363,0.15870720148086548
FULTON STREET,1.2611934,1.0871154,-1.1861927509307861
GRAND CONCOURSE,0.9362073,0.69447124,0.10298478603363037
GRAND STREET BRIDGE,0.81946933,0.58684736,0.3172340989112854
HAMILTON AVENUE BRIDGE,0.91811293,0.8044519,0.17867392301559448
HICKS STREET,0.93441606,0.6888471,-0.0005433559417724609
HILLSIDE AVENUE,0.79722375,0.48377478,0.17786824703216553
HOLLIS COURT BOULEVARD,0.69430107,0.56975776,0.28991973400115967
HOOK CREEK BRIDGE,0.9973877,0.7831374,-0.28025519847869873
HUGUENOT AVENUE,0.74354154,0.60513854,0.35179734230041504
HUNTS POINT AVENUE,0.8701038,0.7898385,-5.695654392242432
HYLAN BOULEVARD,0.46431646,0.3699925,0.45654231309890747
JACKIE ROBINSON PARKWAY,1.5861969,1.4191985,-5.639871597290039
JACKSON AVENUE,0.78136134,0.7468394,-187.63719177246094
JAMAICA AVENUE,0.9157901,0.63266534,0.3102775812149048
JEROME AVENUE,0.8575383,0.68829024,0.35456764698028564
JJ BYRNE MEMORIAL BRIDGE,1.3095471,1.0255654,-0.7678675651550293
JUNCTION BOULEVARD,1.1304574,0.98754376,-49.878013610839844
KINGS HIGHWAY,0.76731163,0.521874,0.3348475694656372
KISSENA BOULEVARD,1.4819022,1.401819,-211.005859375
LAFAYETTE AVENUE,1.2538587,1.0017221,-0.4344778060913086
LAFAYETTE STREET,0.68712735,0.60437346,0.19360697269439697
LEXINGTON AVENUE,0.7916404,0.7012452,0.12364476919174194
LIBERTY AVENUE,0.5792427,0.48763418,0.42607635259628296
LINDEN BOULEVARD,0.49682525,0.38965505,0.4211720824241638
LONG ISLAND EXPRESSWAY,0.7654549,0.57891583,0.2757985591888428
LONGWOOD AVENUE,0.5617859,0.44332078,0.40963447093963623
MADISON AVENUE,0.5555005,0.46932894,0.41220206022262573
MADISON AVENUE BRIDGE,0.8380988,0.61514926,0.1069108247756958
MADISON STREET,0.63245183,0.47376812,0.42504769563674927
MAIN STREET,0.898026,0.7191207,0.29694026708602905
MAJOR DEEGAN EXPRESSWAY,0.96482456,0.8686304,-21.76722526550293
MANHATTAN AVENUE,0.5181768,0.35520172,0.6931152939796448
MANHATTAN BRIDGE,0.8272808,0.6025222,0.3295251131057739
MANOR ROAD,0.6263346,0.41748637,0.5576205253601074
MARATHON PARKWAY,0.5860816,0.45074153,0.4858487844467163
MARTLING AVENUE,0.74521,0.591689,0.3476719260215759
MERRICK BOULEVARD,0.6446805,0.46422994,0.49673283100128174
METROPOLITAN AVENUE,0.68803316,0.5807148,0.617473304271698
MYRTLE AVENUE,0.7491364,0.5819885,0.3950718641281128
NEPTUNE AVENUE,0.7141637,0.6246554,-6.53856086730957
NEW YORK AVENUE,0.4765762,0.40308392,0.35354429483413696
NORTH CHANNEL BRIDGE,0.5935554,0.41136572,0.7053812742233276
NORTH CONDUIT AVENUE,0.78837574,0.65214866,0.06677603721618652
NORTHERN BLVD,0.76736903,0.57585853,0.3335072994232178
NORTHERN BOULEVARD,0.95552844,0.7719857,0.14668488502502441
OCEAN AVENUE,1.1342406,0.8371783,0.3204514980316162
OCEAN PARKWAY,0.5097599,0.47406906,-9.262617111206055
OCEAN TERRACE,0.7650264,0.49693036,0.380551278591156
PARK AVENUE,1.0819513,0.64160156,-0.05465137958526611
PARSONS BOULEVARD,0.52078557,0.44949844,0.5157212018966675
PELHAM BRIDGE,1.3466979,0.9787101,-0.10101902484893799
PELHAM PARKWAY,0.5680494,0.4446829,0.5852005481719971
PELHAM PARKWAY SOUTH,1.1824113,1.0300558,-0.9574860334396362
PENNSYLVANIA AVENUE,0.53651017,0.4614201,0.2500247359275818
PROSPECT AVENUE,0.7449737,0.537171,0.5998619794845581
PULASKI BRIDGE,0.8257006,0.63012636,0.36220264434814453
QUEENS BLVD,0.69333595,0.5806871,0.19110184907913208
QUEENS BOULEVARD,0.663008,0.45290545,0.3917766213417053
RALPH AVENUE,0.3491842,0.26367074,0.8420010805130005
