street,count
BROADWAY,13557
3 AVENUE,7834
KINGS HIGHWAY,6897
LINDEN BOULEVARD,5913
UNION TURNPIKE,5495
ATLANTIC AVENUE,5468
5 AVENUE,5118
BEDFORD AVENUE,4983
BOSTON ROAD,4633
GRAND CONCOURSE,4488
AMSTERDAM AVENUE,4380
NORTHERN BOULEVARD,4129
PARK AVENUE,4120
1 AVENUE,4002
SOUTHERN BOULEVARD,3984
JAMAICA AVENUE,3936
WEBSTER AVENUE,3840
LIBERTY AVENUE,3553
WEST END AVENUE,3480
FLATBUSH AVENUE,3474
WHITE PLAINS ROAD,3268
MYRTLE AVENUE,3195
YORK AVENUE,3051
8 AVENUE,3024
CHURCH AVENUE,2928
HYLAN BOULEVARD,2832
MADISON AVENUE,2811
FLUSHING AVENUE,2752
LONG ISLAND EXPRESSWAY,2736
METROPOLITAN AVENUE,2736
2 AVENUE,2725
MAIN STREET,2712
10 AVENUE,2625
MERRICK BOULEVARD,2611
ARTHUR KILL ROAD,2597
AMBOY ROAD,2593
WOODHAVEN BOULEVARD,2592
OCEAN AVENUE,2576
11 AVENUE,2568
86 STREET,2530
OCEAN PARKWAY,2504
EAST TREMONT AVENUE,2496
LEXINGTON AVENUE,2464
EAST 163 STREET,2390
BELT PARKWAY,2376
NEPTUNE AVENUE,2355
4 AVENUE,2329
65 STREET,2328
FULTON STREET,2280
QUEENS BLVD,2256
AVENUE M,2242
ROCKAWAY BOULEVARD,2214
VICTORY BOULEVARD,2176
JEROME AVENUE,2161
PULASKI BRIDGE,2148
FREDERICK DOUGLASS BOULEVARD,2064
NORTH CHANNEL BRIDGE,2062
SEAGIRT BOULEVARD,2019
7 AVENUE,2016
CROPSEY AVENUE BRIDGE,1990
EAST 161 STREET,1988
MANOR ROAD,1968
CENTRAL PARK WEST,1957
AVENUE J,1916
RICHMOND ROAD,1896
RICHMOND AVENUE,1855
ROOSEVELT AVENUE,1848
BAY PARKWAY,1848
EAST GUN HILL ROAD,1824
UTOPIA PARKWAY,1824
QUEENS BOULEVARD,1821
VERNON BOULEVARD,1775
MARATHON PARKWAY,1751
FT HAMILTON PARKWAY,1731
FLATLANDS AVENUE,1731
EAST 174 ST BRIDGE,1699
EAST FORDHAM ROAD,1683
PELHAM PARKWAY,1679
HAMILTON AVENUE BRIDGE,1657
SUTTER AVENUE,1652
58 STREET,1632
BORDEN AVENUE BRIDGE,1624
GRAND STREET BRIDGE,1613
JACKIE ROBINSON PARKWAY,1576
ROOSEVELT AVENUE BRIDGE,1536
ROCKLAND AVENUE,1536
JACKSON AVENUE,1525
PROSPECT AVENUE,1465
COLUMBUS AVENUE,1464
9 STREET,1464
F D R DRIVE,1464
CENTRAL AVENUE,1446
14 AVENUE,1424
SEDGWICK AVENUE,1395
WADSWORTH AVENUE,1372
BROOKLYN QUEENS EXPRESSWAY,1368
BRONXWOOD AVENUE,1363
34 AVENUE,1361
FRESH KILLS BRIDGE,1347
REMSEN AVENUE,1344
AVENUE OF THE AMERICAS,1320
111 STREET,1318
PARSONS BOULEVARD,1303
LAFAYETTE STREET,1296
WEST 42 STREET,1296
BEDFORD PARK BOULEVARD,1296
LONGWOOD AVENUE,1296
RANDALL AVENUE,1296
HUNTS POINT AVENUE,1294
SOUTH CONDUIT AVENUE,1249
WESTCHESTER AVENUE,1239
JUNCTION BOULEVARD,1213
145 STREET BRIDGE,1210
ROCKAWAY BEACH BOULEVARD,1206
PELHAM BRIDGE,1205
BUSHWICK AVENUE,1200
WASHINGTON AVENUE,1175
CROSS BAY BOULEVARD,1156
EMMONS AVENUE,1149
LAFAYETTE AVENUE,1145
PENNSYLVANIA AVENUE,1139
SURF AVENUE,1133
CENTRAL PARK SOUTH,1120
KISSENA BOULEVARD,1104
DEKALB AVENUE,1103
SUNRISE HIGHWAY,1102
VAN CORTLANDT PARK EAST,1102
CHRYSTIE STREET,1082
73 PLACE,1080
NEW YORK AVENUE,1080
CROPSEY AVENUE,1075
BRUCKNER BOULEVARD,1044
COLUMBIA STREET,1044
31 AVENUE,1038
STATE STREET,1032
45 AVENUE,1032
OCEAN TERRACE,988
MAJOR DEEGAN EXPRESSWAY,981
39 AVENUE,981
MANHATTAN AVENUE,960
RALPH AVENUE,960
21 STREET,960
188 STREET,960
26 AVENUE,954
HOLLIS COURT BOULEVARD,945
9 AVENUE,937
MADISON AVENUE BRIDGE,922
HILLSIDE AVENUE,916
WESTCHESTER AVENUE BRIDGE,915
EAST 149 STREET,912
RIVER AVENUE,912
80 STREET,898
HUGUENOT AVENUE,898
CRESCENT STREET,896
NORTH CONDUIT AVENUE,883
EAST 138 STREET,878
HOOK CREEK BRIDGE,874
HICKS STREET,874
RIKERS ISLAND BRIDGE,871
STEINWAY STREET,867
AVENUE D,865
DYCKMAN STREET,864
12 AVENUE,864
AUDUBON AVENUE,864
MARTLING AVENUE,864
TODT HILL ROAD,864
CORTELYOU ROAD,864
MADISON STREET,864
BROADWAY BRIDGE,840
JJ BYRNE MEMORIAL BRIDGE,823
PELHAM PARKWAY SOUTH,816
47 AVENUE,773
48 STREET,768
SMITH STREET,768
WEST 165 STREET,768
MANHATTAN BRIDGE,745
BEACH 20 STREET,744
COOPER AVENUE,738
TOMPKINS AVENUE,737
ASTORIA BOULEVARD,735
SOUTHERN BLVD,720
